,id_sampl,Survey,strata_id,Site,district,number_families,number_individuals,geopoint_1,X_geopoint_1_latitude,X_geopoint_1_longitude,X_geopoint_1_altitude,X_geopoint_1_precision,psu_id,pop_numbers,SumDist,proba,survey_buffer
1,id_1,12,all,100Bush,bossaso,960,5760,11.283716666666665 49.16900666666667 3.9 5.0,11.28371667,49.16900667,3.9,5,100Bush,960,10008,0.095923261,12
2,id_11,12,all,Raf raaxo,bossaso,820,4920,11.26634320244193 49.19143136590719 0.0 5.0,11.2663432,49.19143137,0,5,Raf raaxo,820,10008,0.081934452,12
3,id_12,6,all,Shilkow,bossaso,300,1800,11.265868828631938 49.21317678876221 14.0 11.0,11.26586883,49.21317679,14,11,Shilkow,300,10008,0.029976019,6
4,id_13,12,all,Suwayto IDP,bossaso,470,2820,11.29001651 49.18734147 -28.0 7.504,11.29001651,49.18734147,-28,7.504,Suwayto IDP,470,10008,0.04696243,12
5,id_14,18,all,Tawakal IDP,bossaso,1840,11040,11.281778058037162 49.16532718576491 -21.0 5.0,11.28177806,49.16532719,-21,5,Tawakal IDP,1840,10008,0.183852918,18
6,id_15,6,all,TuurjaaleIDP,bossaso,410,2460,11.273698333333334 49.186524999999996 57.6 5.0,11.27369833,49.186525,57.6,5,TuurjaaleIDP,410,10008,0.040967226,6
7,id_16,6,all,Ugbaad,bossaso,200,1200,11.265256666666668 49.17480666666667 42.0 4.8,11.26525667,49.17480667,42,4.8,Ugbaad,200,10008,0.019984013,6
8,id_18,12,all,Xadoole,bossaso,500,3000,11.27558902 49.17012359 2.0 9.648001,11.27558902,49.17012359,2,9.648001,Xadoole,500,10008,0.049960032,12
9,id_2,6,all,55aad,bossaso,136,816,11.287024919874966 49.16875404305756 -27.0 5.0,11.28702492,49.16875404,-27,5,55aad,136,10008,0.013589129,6
10,id_3,24,all,Abow B,bossaso,845,5070,11.27443098463118 49.19397711753845 -3.0 5.0,11.27443098,49.19397712,-3,5,Abow B,845,10008,0.084432454,24
11,id_4,18,all,AbsameB,bossaso,500,3000,11.28235981 49.19259108 -7.0 4.288,11.28235981,49.19259108,-7,4.288,AbsameB,500,10008,0.049960032,18
12,id_5,6,all,Ajuuran A,bossaso,300,1500,11.2632347 49.2042656 47.705245190589935 4.931,11.2632347,49.2042656,47.70524519,4.931,Ajuuran A,300,10008,0.029976019,6
13,id_6,6,all,Banadir A,bossaso,510,3000,11.2743122 49.1981542 15.73662237666864 4.706,11.2743122,49.1981542,15.73662238,4.706,Banadir A,510,10008,0.050959233,6
14,id_8,12,all,Buulo.mingis A,bossaso,900,5000,11.2800105 49.2006716 -3.1418428324330767 4.662,11.2800105,49.2006716,-3.141842832,4.662,Buulo.mingis A,900,10008,0.089928058,12
15,id_9,18,all,Farjano,bossaso,580,3480,11.288106394931674 49.171649403870106 -24.0 5.0,11.28810639,49.1716494,-24,5,Farjano,580,10008,0.057953637,18
1,id_116,6,all,Istar,mogadishu_daynile,420,2520,2.070775 45.251368333333325 -0.8 4.9,2.070775,45.25136833,-0.8,4.9,Istar,420,97689,0.004299358,6
2,id_148,6,all,Tifoow center,mogadishu_daynile,200,1200,2.089393333333333 45.25590666666667 138.5 4.7,2.089393333,45.25590667,138.5,4.7,Tifoow center,200,97689,0.002047313,6
3,id_15,18,all,Bulsho gaab,mogadishu_daynile,3000,18000,2.0805823787937476 45.2868986584844 55.44559604118131 8.0,2.080582379,45.28689866,55.44559604,8,Bulsho gaab,3000,97689,0.030709701,18
4,id_157,6,all,Aanshaqow IDP center,mogadishu_daynile,300,1800,2.07110652 45.25160458 63.0 4.5509996,2.07110652,45.25160458,63,4.5509996,Aanshaqow IDP center,300,97689,0.00307097,6
5,id_16,18,all,Digaan bile,mogadishu_daynile,1750,10500,2.097859147951356 45.29127781990442 59.27993769805654 8.0,2.097859148,45.29127782,59.2799377,8,Digaan bile,1750,97689,0.017913992,18
6,id_166,6,all,Duca waalid IDP CENTER,mogadishu_daynile,1350,6750,2.06781763 45.27036983 57.0 4.5509996,2.06781763,45.27036983,57,4.5509996,Duca waalid IDP CENTER,1350,97689,0.013819366,6
7,id_168,12,all,Kalama shoorto IDP center,mogadishu_daynile,2335,11675,2.07709902 45.25319907 92.0 4.5509996,2.07709902,45.25319907,92,4.5509996,Kalama shoorto IDP center,2335,97689,0.023902384,12
8,id_18,6,all,Nabad iyo nolol,mogadishu_daynile,2246,13476,2.1002292387435855 45.28931484593178 60.22418236527729 8.0,2.100229239,45.28931485,60.22418237,8,Nabad iyo nolol,2246,97689,0.02299133,6
9,id_216,6,all,Dankulan center,mogadishu_daynile,750,4500,2.0834816666666667 45.25454666666666 159.0 4.0,2.083481667,45.25454667,159,4,Dankulan center,750,97689,0.007677425,6
10,id_238,6,all,Sawdo center,mogadishu_daynile,350,2100,2.08186133 45.25534599 108.0 4.0,2.08186133,45.25534599,108,4,Sawdo center,350,97689,0.003582798,6
11,id_246,6,all,Isha beydhabo,mogadishu_daynile,875,4375,2.0790616666666666 45.25342333333333 121.1 3.6,2.079061667,45.25342333,121.1,3.6,Isha beydhabo,875,97689,0.008956996,6
12,id_254,6,all,Hilaac wanaak center,mogadishu_daynile,215,1030,2.07301653 45.23852993 97.0 3.0,2.07301653,45.23852993,97,3,Hilaac wanaak center,215,97689,0.002200862,6
13,id_38,6,all,Beledul amin,mogadishu_daynile,150,750,2.069756928831339 45.268808556720614 55.0 5.0,2.069756929,45.26880856,55,5,Beledul amin,150,97689,0.001535485,6
14,id_43,6,all,Cigaw kaam,mogadishu_daynile,200,708,2.0756316666666668 45.25929166666666 127.8 5.0,2.075631667,45.25929167,127.8,5,Cigaw kaam,200,97689,0.002047313,6
15,id_6,12,all,Bulsho weyn,mogadishu_daynile,1900,11400,2.090440687136514 45.29012189764278 84.76124385380169 16.0,2.090440687,45.2901219,84.76124385,16,Bulsho weyn,1900,97689,0.019449477,12
16,id_60,6,all,Garisyaana,mogadishu_daynile,350,2100,2.072458333333333 45.25199166666666 140.6 5.0,2.072458333,45.25199167,140.6,5,Garisyaana,350,97689,0.003582798,6
17,id_66,6,all,Isma hurto center,mogadishu_daynile,1740,10440,2.07428465 45.23317958 96.0 5.0,2.07428465,45.23317958,96,5,Isma hurto center,1740,97689,0.017811627,6
18,id_89,12,all,Ramaas,mogadishu_daynile,2325,13950,2.0923233333333333 45.28974 121.4 5.0,2.092323333,45.28974,121.4,5,Ramaas,2325,97689,0.023800018,12
19,id_91,6,all,"Sagal,ciid center",mogadishu_daynile,933,5598,2.07233422 45.23145796 107.0 5.0,2.07233422,45.23145796,107,5,"Sagal,ciid center",933,97689,0.009550717,6
1,id_111,6,all,Maalimay center,mogadishu_kahda,280,1680,2.0484416666666667 45.25996833333333 95.8 4.8,2.048441667,45.25996833,95.8,4.8,Maalimay center,280,67495,0.004148455,6
2,id_119,12,all,Carafaat,mogadishu_kahda,520,3120,2.059336666666667 45.24357166666667 99.1 4.7,2.059336667,45.24357167,99.1,4.7,Carafaat,520,67495,0.007704274,12
3,id_153,6,all,Deeqweyne IDP Center,mogadishu_kahda,1507,9042,2.06068852 45.23082095 82.0 4.5509996,2.06068852,45.23082095,82,4.5509996,Deeqweyne IDP Center,1507,67495,0.02232758,6
4,id_168,6,all,Cadceed,mogadishu_kahda,66,396,2.0569983333333335 45.26520166666666 87.4 4.5,2.056998333,45.26520167,87.4,4.5,Cadceed,66,67495,0.00097785,6
5,id_182,6,all,dooy mareer,mogadishu_kahda,310,1860,2.05017 45.26019333333333 76.8 4.3,2.05017,45.26019333,76.8,4.3,dooy mareer,310,67495,0.004592933,6
6,id_228,6,all,Inaafatah,mogadishu_kahda,370,2220,2.05965 45.25613333333334 72.1 3.8,2.05965,45.25613333,72.1,3.8,Inaafatah,370,67495,0.005481888,6
7,id_235,6,all,Caano macey IDps Center,mogadishu_kahda,560,1680,2.0625583333333335 45.23149333333334 84.7 3.5,2.062558333,45.23149333,84.7,3.5,Caano macey IDps Center,560,67495,0.008296911,6
8,id_240,6,all,Mardarabi,mogadishu_kahda,300,1800,2.0536600000000003 45.25837166666667 101.4 3.4,2.05366,45.25837167,101.4,3.4,Mardarabi,300,67495,0.004444774,6
9,id_248,6,all,Huriyo,mogadishu_kahda,522,3132,2.0516883333333333 45.257585 102.0 3.2,2.051688333,45.257585,102,3.2,Huriyo,522,67495,0.007733906,6
10,id_25,12,all,Tayo center,mogadishu_kahda,735,4410,2.060389592350364 45.242585192720355 45.24646075139513 6.0,2.060389592,45.24258519,45.24646075,6,Tayo center,735,67495,0.010889696,12
11,id_256,6,all,xaaji kuusow canter,mogadishu_kahda,220,950,2.0625533333333332 45.24312333333334 97.0 3.0,2.062553333,45.24312333,97,3,xaaji kuusow canter,220,67495,0.003259501,6
12,id_257,12,all,Yoow kooyoow center,mogadishu_kahda,100,600,2.04796307 45.25865199 61.0 3.0,2.04796307,45.25865199,61,3,Yoow kooyoow center,100,67495,0.001481591,12
13,id_4,6,all,Balanbaalis,mogadishu_kahda,250,1250,2.0666868971713606 45.239814532519446 86.86877322909095 16.0,2.066686897,45.23981453,86.86877323,16,Balanbaalis,250,67495,0.003703978,6
14,id_57,6,all,Kaxda /waxda 3aad/Alafutow center,mogadishu_kahda,190,1050,2.0629283333333333 45.24395 113.7 5.0,2.062928333,45.24395,113.7,5,Kaxda /waxda 3aad/Alafutow center,190,67495,0.002815023,6
15,id_59,6,all,Kaxda waaxda 3aad/Bismila center,mogadishu_kahda,322,1940,2.063685 45.24437833333333 163.7 5.0,2.063685,45.24437833,163.7,5,Kaxda waaxda 3aad/Bismila center,322,67495,0.004770724,6
16,id_61,6,all,Kuntuwaarey,mogadishu_kahda,700,4200,2.061115 45.23014833333333 95.9 5.0,2.061115,45.23014833,95.9,5,Kuntuwaarey,700,67495,0.010371139,6
17,id_7,12,all,Xaqdhowr center,mogadishu_kahda,2700,13500,2.059574634768069 45.24468376301229 52.0 13.0,2.059574635,45.24468376,52,13,Xaqdhowr center,2700,67495,0.040002963,12
18,id_72,6,all,Talabuna,mogadishu_kahda,110,660,2.058718333333333 45.25912 84.9 5.0,2.058718333,45.25912,84.9,5,Talabuna,110,67495,0.00162975,6
19,id_79,6,all,Aljurus center,mogadishu_kahda,584,2920,2.064445 45.227515 111.2 4.9,2.064445,45.227515,111.2,4.9,Aljurus center,584,67495,0.008652493,6
20,id_87,6,all,Diinsoor,mogadishu_kahda,320,1920,2.06 45.25253333333333 114.9 4.9,2.06,45.25253333,114.9,4.9,Diinsoor,320,67495,0.004741092,6
21,id_95,6,all,Kaxda waxda 3aad/Ijaabo center,mogadishu_kahda,360,1800,2.066656666666667 45.24413500000001 149.1 4.9,2.066656667,45.244135,149.1,4.9,Kaxda waxda 3aad/Ijaabo center,360,67495,0.005333728,6
1,id_10,6,all,200 road corridor,hargeisa,600,3600,9.6013891 44.0862028 1327.0 4.731,9.6013891,44.0862028,1327,4.731,200 road corridor,600,18820,0.031880978,6
