,id_sampl,Survey,strata_id,ass_site,district,number_families,number_individuals,geopoint_1,X_geopoint_1_latitude,X_geopoint_1_longitude,X_geopoint_1_altitude,X_geopoint_1_precision,psu_id,pop_numbers,SumDist,proba,survey_buffer
1,id_108,6,all,Garasbaley waxda afaraad/Alamagan center,mogadishu_daynile,370,2250,2.0820916666666665 45.254148333333326 203.8 5.0,2.082091667,45.25414833,203.8,5,Garasbaley waxda afaraad/Alamagan center,370,98526,0.003755354,6
2,id_133,18,all,Hanti wadaag canter,mogadishu_daynile,5800,34800,2.09268 45.286608333333334 157.9 5.0,2.09268,45.28660833,157.9,5,Hanti wadaag canter,5800,98526,0.05886771,18
3,id_137,6,all,hir shaweele kaam,mogadishu_daynile,120,650,2.0697533333333333 45.266220000000004 81.2 5.0,2.069753333,45.26622,81.2,5,hir shaweele kaam,120,98526,0.001217953,6
4,id_14,6,all,Alcadaala center,mogadishu_daynile,600,3600,2.065678333333333 45.25701666666667 133.3 5.0,2.065678333,45.25701667,133.3,5,Alcadaala center,600,98526,0.006089763,6
5,id_143,6,all,Istaahil center,mogadishu_daynile,120,720,2.07844854 45.25445268 96.0 5.0,2.07844854,45.25445268,96,5,Istaahil center,120,98526,0.001217953,6
6,id_151,12,all,Kalama shoorto IDP center,mogadishu_daynile,2335,11675,2.07709902 45.25319907 92.0 4.5509996,2.07709902,45.25319907,92,4.5509996,Kalama shoorto IDP center,2335,98526,0.023699328,12
7,id_165,6,all,Liiwaan center,mogadishu_daynile,215,1075,2.06644195 45.27249678 62.0 5.0,2.06644195,45.27249678,62,5,Liiwaan center,215,98526,0.002182165,6
8,id_2,6,all,Aamiin saabiriin center,mogadishu_daynile,460,2760,2.07426123 45.23311552 87.0 5.0,2.07426123,45.23311552,87,5,Aamiin saabiriin center,460,98526,0.004668818,6
9,id_212,24,all,Ramaas,mogadishu_daynile,2325,13950,2.0923233333333333 45.28974 121.4 5.0,2.092323333,45.28974,121.4,5,Ramaas,2325,98526,0.023597832,24
10,id_226,6,all,"Sagal,ciid center",mogadishu_daynile,933,5598,2.07233422 45.23145796 107.0 5.0,2.07233422,45.23145796,107,5,"Sagal,ciid center",933,98526,0.009469582,6
11,id_228,6,all,Salaama,mogadishu_daynile,430,2700,2.06969902 45.2497114 66.0 4.5509996,2.06969902,45.2497114,66,4.5509996,Salaama,430,98526,0.00436433,6
12,id_241,6,all,Tabaruuc center,mogadishu_daynile,200,1200,2.07503715 45.22960794 105.0 5.0,2.07503715,45.22960794,105,5,Tabaruuc center,200,98526,0.002029921,6
13,id_247,6,all,Tokyo center,mogadishu_daynile,360,2160,2.07904917 45.25365775 71.0 5.0,2.07904917,45.25365775,71,5,Tokyo center,360,98526,0.003653858,6
14,id_249,6,all,Towfiiq,mogadishu_daynile,2300,13800,2.0898221574483062 45.29012974101814 47.89504535652314 16.0,2.089822157,45.29012974,47.89504536,16,Towfiiq,2300,98526,0.023344092,6
15,id_44,6,all,Bulsho,mogadishu_daynile,320,1920,2.0843633333333336 45.25477333333333 129.9 4.8,2.084363333,45.25477333,129.9,4.8,Bulsho,320,98526,0.003247874,6
16,id_56,6,all,Caawiye,mogadishu_daynile,75,450,2.0712083333333333 45.27926333333333 65.3 3.5,2.071208333,45.27926333,65.3,3.5,Caawiye,75,98526,0.00076122,6
